Take,Burned,Weight,Saved
1948,500,200.00,1448
2178,202,197.60,1976
2250,397,199.00,1853
2214,451,197.60,1763
1461,0,199.00,1461
2601,722,195.00,1879
2165,1218,195.00,947
2230,442,195.00,1788
1748,0,195.00,1748
2113,300,196.00,1813
1766,0,195.00,1766
2056,354,195.00,1702
2465,353,195.00,2112
1848,0,195.00,1848
1682,1194,195.00,488
1811,796,195.00,1015
1575,0,195.00,1575
3144,0,195.00,3144
3000,0,195.00,3000
1850,0,194.00,1850
2200,572,194.00,1628
1314,754,194.00,560
1710,0,193.00,1710
1597,194,194.40,1403
2803,1300,191.00,1503
1933,206,191.00,1727
2039,919,191.00,1120
1748,257,191.00,1491
1904,198,195.00,1706
2006,454,192.60,1552
2151,172,189.80,1979
2381,612,191.00,1769
1963,144,191.00,1819
2097,126,191.00,1971
2469,735,191.00,1734
1897,102,192.00,1795
1841,478,193.00,1363
1763,105,191.80,1658
1875,254,191.60,1621
2050,171,191.60,1879
1909,66,189.80,1843
1791,0,189.80,1791
2080,0,189.80,2080
2088,589,191.40,1499
1668,268,191.40,1400
2145,560,190.00,1585
2250,519,190.00,1731
2155,300,190.00,1855
2315,753,190.00,1562
2119,689,189.80,1430
1972,581,189.80,1391
1985,510,189.00,1475
2102,616,189.00,1486
2123,656,188.80,1467
1766,192,188.80,1574
2069,668,188.80,1401
2501,656,189.00,1845
1702,848,190.00,854
2092,788,187.40,1304
1989,1028,189.00,961
2580,1028,189.00,1552
2585,445,187.20,2140
2472,738,187.20,1734
2321,728,187.20,1593
2296,738,187.20,1558
2395,891,187.20,1504
2114,212,187.20,1902
2232,335,187.20,1897
2044,127,187.20,1917
1981,566,187.20,1415
2196,707,187.20,1489
2146,733,188.00,1413
2197,535,189.00,1662
2216,427,188.00,1789
2397,608,187.00,1789
1901,166,187.00,1735
2040,233,187.00,1807
1991,282,187.00,1709
1983,395,186.00,1588
2192,549,186.00,1643
1900,534,189.60,1366
1752,0,189.60,1752
2423,815,189.60,1608
2847,1084,189.60,1763
2051,394,188.00,1657
1879,864,187.60,1015
2408,734,186.00,1674
2443,603,187.60,1840
2197,765,186.00,1432
2948,882,186.00,2066
